 0.10    9.5003318643    -99.9933910120    -1.9995003033289
 0.20    4.50131152060    -24.9870864344    -1.9980047912136
 0.30    2.83623100866    -11.0923969624    -1.9955237901736
 0.40    2.005033891727    -6.22609680480    -1.9920733669440
 0.50    1.507656531746    -3.97155974394    -1.98767407041295
 0.60    1.177367010115    -2.74544751989    -1.98234966829704
 0.70    0.9426735346161    -2.005209871541    -1.97612601216043
 0.80    0.7678028041359    -1.524182026291    -1.96903008722317
 0.90    0.6328598679409    -1.194046680525    -1.96108925653221
 1.00    0.52589204373857    -0.9577257341922    -1.952330684288410
 1.10    0.43928139242447    -0.7828128991008    -1.942780912517214
 1.20    0.36794067816846    -0.6497933651426    -1.932465562843318
 1.30    0.308341686064422    -0.54634084078773    -1.921409136898777
 1.40    0.257959727504508    -0.46435581943480    -1.9096348924548683
 1.50    0.214940133624867    -0.39833628314138    -1.8971647763870565
 1.60    0.177889641785097    -0.344437195115800    -1.8840193993916633
 1.70    0.1457412724032067    -0.299904932128020    -1.8702180406892326
 1.80    0.1176641376998529    -0.262725000850430    -1.8557786736975003
 1.90    0.0930016463461956    -0.231395780366036    -1.8407180058623378
 2.00    0.0712281801041436    -0.2047792429030079    -1.82505152756692279
 2.10    0.0519180969347824    -0.1820000876664968    -1.80879356637810669
 2.20    0.03472314791207759    -0.1623761227524388    -1.79195734391146136
 2.30    0.01935575463285943    -0.1453692892902894    -1.77455503337004588
 2.40    0.00557644363008103    -0.1305506091792707    -1.756597816392367470
 2.50    -0.00681572162277555    -0.11757470348988524    -1.738095938277242422
 2.60    -0.017990514612581332    -0.10616100326573520    -1.71905876097268378
 2.70    -0.028092291670240188    -0.09607971390698103    -1.69949481345003835
 2.80    -0.0372445146934158866    -0.08714120478860066    -1.67941183925449704
 2.90    -0.045553344284528174    -0.07918789973582537    -1.6588168411449355
 3.00    -0.053110518910172155316    -0.072088015800308626630    -1.637716122822045187657
 3.10    -0.059995680295853559549    -0.065730683522007661002    -1.6161153278031396514108
 3.20    -0.0662782654104877022583    -0.060022110605444485254    -1.59401947554183250242921
 3.30    -0.0720190563700215391485    -0.054882541364290750563    -1.5714329949162202253510
 3.40    -0.0772714582189832355219    -0.0502438285868507714985    -1.548359755224179957496
 3.50    -0.08208255865105795745507    -0.046047480724045377828    -1.524803094831842911978
 3.60    -0.0864940117889112514149    -0.042243080926959340340    -1.500765847623407456837
 3.70    -0.0905427790933315823629    -0.038786999155758224788    -1.47625036739883236870
 3.80    -0.0942617535542265017057    -0.035641336889907581247    -1.45125855036179733900
 3.90    -0.097680287986312008819    -0.032773057664005902670    -1.42579185583451464233
 4.00    -0.100824644115118988719    -0.030153266982972802572    -1.39985132532916580461
 4.10    -0.103718375904633758333    -0.027756613023432698022    -1.37343760009838545952
 4.20    -0.106382658032494303857    -0.02556078554330516822    -1.34655093727965425061
 4.30    -0.108836568402757377649    -0.02354609506167057926    -1.3191912247409279854
 4.40    -0.111097331980115426875    -0.02169511797433215906    -1.2913579947274825900
 4.50    -0.113180531942489781549    -0.01999239608660616909    -1.2630504364029011595
 4.60    -0.11510029311217279124    -0.01842418125905957131    -1.2342674073704384138
 4.70    -0.11686944178618699497    -0.01697821761286218955    -1.2050074442547082534
 4.80    -0.11849964540343413399    -0.01564355513363702279    -1.1752687724177702298
 4.90    -0.12000153492778817266    -0.0144103896254603286    -1.145049314878244258
 5.00    -0.12138481236775111594    -0.0132699248605098270    -1.114346700497053219
 5.20    -0.12383025135261449545    -0.0112362538771423525    -1.051481090313277709
 5.40    -0.1258983321211958883    -0.0094881856606021287    -0.986647359942583683
 5.60    -0.1276415891006862646    -0.0079813312107041100    -0.91981664155212632
 5.80    -0.1291044990702928108    -0.006679202738401612    -0.85095594542696098
 6.00    -0.1303248956557336580    -0.005551624399254260    -0.78002829843215155
 6.20    -0.131335103271556758    -0.004573499005878397    -0.70699286142130062
 6.40    -0.132162852476899351    -0.003723843039701105    -0.6318050296007615
 6.60    -0.132832023657124182    -0.002985025759662075    -0.5544165194534481
 6.80    -0.133363254867004982    -0.00234216491352280    -0.4747754455011292
 7.00    -0.133774441439351910    -0.00178264358113335    -0.3928263899251012
 7.20    -0.13408114878875066    -0.00129572142206093    -0.3085104678596262
 7.40    -0.13429695516901788    -0.00087222001959627    -0.221765391009358
 7.60    -0.13443373758042917    -0.00050426676990526    -0.132525532111139
 7.80    -0.1345019112850046883    -0.0001850853200052088    -0.04072199265287253
 8.00    -0.1345106312691379258    0.0000911767635350527    0.05371732383086432
 8.20    -0.1344679623417471825    0.0003295903801468401    0.15086763065323922
 8.40    -0.1343810232614417732    0.000534563065505173    0.25080716691392352
 8.60    -0.1342561092649200982    0.000709937480195806    0.35361709443248929
 8.80    -0.134098796558682787    0.000859073823341178    0.4593813807382883
 9.00    -0.133914031690074209    0.000984919054944402    0.5681866663124642
 9.20    -0.133706208195850218    0.001090065244021266    0.6801221144400750
 9.40    -0.133479232509483015    0.001176798912848240    0.7952792422267640
 9.60    -0.133236580771100122    0.00124714289365687    0.9137517315697517
 9.80    -0.132981347909937542    0.00130289193224689    1.0356352191507799
 10.00    -0.13271629014566155    0.00134564304757095    1.161027064841210
 11.00    -0.13132065337373861    0.0014094592795452    1.844106159432037
 12.00    -0.1299510306633995    0.0013106462864791    2.62998768874757
 13.00    -0.128725976995709    0.001131041926592    3.5309197966075
 14.00    -0.127698273146061    0.000922836790540    4.5577008349581
 15.00    -0.12687869374349    0.00071899633509    5.718719648328
 16.00    -0.12625241402941    0.00053840279517    7.01946074064
