  0.10    -0.031250044609313550161845    -55.9999229354229862523632
  0.20    -0.0312501784387388645633681    -55.9996917405234233060369
  0.30    -0.0312504014927300797859812    -55.9993064117956497450195
  0.40    -0.0312507137787112395985757    -55.998766943396575507614
  0.50    -0.0312511153070770192381365    -55.9980733271452002700924
  0.60    -0.0312516060911937395579995    -55.9972255525219390669506
  0.70    -0.0312521861474006712060747    -55.9962236066677550188531
  0.80    -0.0312528554950116290294707    -55.9950674743830990236354
  0.90    -0.0312536141563168569675312    -55.9937571381266561955843
  1.00    -0.0312544621565852037045222    -55.9922925780138988653191
  1.10    -0.0312553995240665894420813    -55.9906737718154458420241
  1.20    -0.0312564262899947641637084    -55.9889006949552276615923
  1.30    -0.0312575424885903578123788    -55.9869733205084575026285
  1.40    -0.0312587481570642228756797    -55.9848916191994073681714
  1.50    -0.0312600433356210698885684    -55.9826555593989891462464
  1.60    -0.0312614280674633963772178    -55.9802651071221401814206
  1.70    -0.0312629023987957099440259    -55.977720226025012726562
  1.80    -0.0312644663788290460215019    -55.9750208774019669832919
  1.90    -0.0312661200597857811134716    -55.9721670201823669791777
  2.00    -0.0312678634969047421972063    -55.969158610927178820951
  2.10    -0.0312696967484466130630002    -55.9659956038253707262206
  2.20    -0.0312716198756996384644665    -55.9626779506901141097647
  2.30    -0.0312736329429856269395899    -55.9592056009547850635387
  2.40    -0.0312757360176662531815978    -55.955578501668765576494
  2.50    -0.0312779291701496610077497    -55.9517965974930435881128
  2.60    -0.0312802124738973678324147    -55.9478598306956112530137
  2.70    -0.031282586005431471797849    -55.943768141146660406377
  2.80    -0.0312850498443421625214397    -55.939521466313574593569
  2.90    -0.0312876040732955367300372    -55.9351197412557165270451
  3.00    -0.03129024877804171992322255    -55.93056289861901009258321
  3.10    -0.03129298404742329522183786    -55.92585086863031603804506
  3.20    -0.03129580997338404078353648    -55.92098357909160012496126
  3.30    -0.03129872665097797693101201    -55.91596095537389296485149
  3.40    -0.03130173417837872450334352    -55.91078292041104016780383
  3.50    -0.03130483265688917577461242    -55.90544939469324175067207
  3.60    -0.03130802219095147929456074    -55.89996029626037976619165
  3.70    -0.03131130288815734026158534    -55.89431554069513270587602
  3.80    -0.03131467485925863775281713    -55.88851504111587575151291
  3.90    -0.031318138218178360553347    -55.8825587081693652612267
  4.00    -0.03132169308202186310758695    -55.87644645002320628151151
  4.10    -0.03132533957108844323694105    -55.87017817235810169515219
  4.20    -0.03132907780888324314967547    -55.86375377835988184398934
  4.30    -0.03133290792212947572765763    -55.85717316871131270121617
  4.40    -0.03133683004078097759299626    -55.85043624158368151898148
  4.50    -0.03134084429803509096377426    -55.84354289262815802853821
  4.60    -0.03134495083034587568615115    -55.8364930149669303582884
  4.70    -0.03134914977743765399006795    -55.82928649918411286094062
  4.80    -0.03135344128231888916086894    -55.82192323331642538422247
  4.90    -0.03135782549129640046321887    -55.81440310284364156898906
  5.00    -0.03136230255398991613009669    -55.80672599067880467001114
  5.20    -0.0313715358556581187489929    -55.790900340031145721344461
  5.40    -0.031381142451114006732101888    -55.77444529295656652781368
  5.60    -0.031391123658143545858123182    -55.757359819304592481638301
  5.80    -0.031401480849054557491590504    -55.739642846836041106925792
  6.00    -0.031412215451225681587587406    -55.721293260852164590899215
  6.20    -0.031423328947678180540180612    -55.702309903807779120620139
  6.40    -0.031434822877670865404127723    -55.682691574908098393022095
  6.60    -0.03144669883731842945268702    -55.662437029688976168111509
  6.80    -0.031458958480233475462642213    -55.641544979580251281814174
  7.00    -0.031471603518192523077784633    -55.620014091451876912711582
  7.20    -0.0314846357218262824200688222    -55.5978429871425015280887459
  7.40    -0.0314980569213344746014008186    -55.5750302429701603058555628
  7.60    -0.0315118690072254764032041001    -55.551574389224719821914539
  7.80    -0.0315260739310810571872190805    -55.5274739096417085130611229
  8.00    -0.0315406737063464656846439309    -55.5027272408571525359434261
  8.20    -0.0315556704091461103728004829    -55.4773327718430245407964186
  8.40    -0.031571066179125061438610497    -55.4512888433228980120030592
  8.60    -0.0315868632203165776752398002    -55.4245937471673936917556502
  8.80    -0.0316030638020358398550302019    -55.397245725768986504021662
  9.00    -0.0316196702598000410191758105    -55.369242971395731158752176
  9.20    -0.0316366849962749469652193475    -55.340583625523455854429345
  9.40    -0.03165411048224800020306521635    -55.311265778145959877642434
  9.60    -0.031671949257627990802731934    -55.28128746706274320209386614
  9.80    -0.0316902039324712649628760302    -55.25064667714378135943765096
 10.00    -0.03170887718803437493424267366    -55.21934133957085564701308994
 11.00    -0.03180862114275818947463794344    -55.05277016940349841765615465
 12.00    -0.03191927470446966205510147909    -54.86924267381274668965358394
 13.00    -0.03204126006000329800499791111    -54.66843468561015986041917047
 14.00    -0.0321750530070967586351723515    -54.4499814589641381301730447
 15.00    -0.032321187143479738805466323    -54.213474006826132005818774
 16.00    -0.032480257968681516145735913    -53.958454954409757552317383
 17.00    -0.03265292642337383071201436    -53.68441392076408965026658
 18.00    -0.0328399210852489757461955    -53.39078250097717082871164
 19.00    -0.0330420378025709452240836    -53.0769290264287532597625
 20.00    -0.033260134955296732305661    -52.74215345022794218839
 22.00    -0.03374793649143540491902    -52.00666930169273520386
 24.00    -0.0343107097887310276033    -51.1772499515965967716
 26.00    -0.0349546577524971555319    -50.2457647944555212755
 28.00    -0.035681931078751164275    -49.203654984266917286
 30.00    -0.03648665599957398945    -48.04329949201705872
 32.00    -0.0373514860494061875    -46.7600352235645125
 34.00    -0.038247302677254705    -45.35411201549987
 36.00    -0.039137450903486677    -43.83154969461267
